id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles,entry_price,qty_executed,net_pnl_usd,net_pnl_krw,commission_usd,commission_krw,is_virtual,orderable_qty,stock_name,hold_duration_min,entry_time,exit_cooldown_remaining,cb_active,pool_size
32313,2026-07-08T15:00:24.125617+00:00,overseas,MLCO,NASD,SELL_REAL,trend_filter_lost,5.23,-0.0003822629969418539,3349,52.212490857738715,0.05408472468702088,0.0,0.0,5.245,5.260457142857143,-71.1429,12,-6.697999999999262,-9042.299999999004,050120bd1cf8,VWAP,VWAP,1,5.257198917433958,-0.005356890927513902,-0.0011309203744671898,0,-0.007590132827324317,0.021874999999999978,0.0,2,0,5.235,3349,-94.31621249999927,-127326.886874999,43.788175,59114.04,0,3349,MLCO,4.43,2026-07-08T14:55:58.205237+00:00,,0,11
32334,2026-07-08T15:02:50.479323+00:00,overseas,MLCO,NASD,SELL_REAL,trend_filter_lost,5.22,-0.0021028484037469166,1368,51.61293746070428,0.3154539857303249,-0.002868068833652116,-0.002868068833652116,5.243333333333333,5.259742857142857,-109.1408,17,-15.048000000000165,-20314.800000000225,050120bd1cf8,VWAP,VWAP,1,5.257159332922041,-0.006553472124095627,-0.0013702366137835348,0,-0.009487666034155564,0.02375000000000005,0.0,3,0,5.235,1368,-50.80410000000017,-68585.53500000022,17.8524,24100.74,0,1368,MLCO,2.44,2026-07-08T15:00:24.130679+00:00,,1,11
32884,2026-07-08T16:36:00.007695+00:00,overseas,CHW,NASD,BUY_REAL,[VWAP] volume_low,8.815,0.0,2800,52.65930781831291,1.1167546466752427,0.0,-0.0005668934240363698,8.816644444444444,8.815871428571429,31.1961,217,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,8.814879714000233,0.0007104380376485864,0.000800976607366239,0,-0.0005668934240363698,0.00561250000000002,0.0,0,,8.815,2800,0.0,0.0,61.705,0.0,0,0,CHW,0.0,2026-07-08T16:36:00.007695+00:00,0.0,0,13
32909,2026-07-08T16:41:31.259846+00:00,overseas,CHW,NASD,SELL_REAL,trend_filter_lost,8.81,-0.0004538234626729702,1575,47.50904840916099,0.19449576971700866,-0.0005672149744752133,-0.0005672149744752133,8.816088888888888,8.815633333333333,21.2064,229,-6.299999999999306,-8504.999999999063,050120bd1cf8,VWAP,VWAP,1,8.814881856288123,2.7548200801419398e-05,0.0004829879798696124,0,-0.001133786848072538,0.005612499999999798,0.0,1,0,8.815,1575,-75.6984374999993,-102192.89062499905,34.689375,46830.66,0,1575,CHW,5.52,2026-07-08T16:36:00.017745+00:00,,0,13
33133,2026-07-08T17:31:40.966038+00:00,overseas,CHW,NASD,SELL_REAL,time_exit_profit,8.82,0.000680735194009556,1225,56.908273123960875,0.35498290823034445,0.0,-0.0005665722379602273,8.822222222222223,8.819038095238094,35.3146,340,7.3500000000002785,9922.500000000377,050120bd1cf8,VWAP,VWAP,1,8.814998252902347,0.0023405641925577925,0.0020350613785921614,0,-0.0022624434389139788,0.00687499999999952,0.0,0,0,8.815,1225,-46.657187499999715,-62987.203124999614,27.01125,36465.19,0,1225,CHW,50.16,2026-07-08T16:41:31.264554+00:00,,0,14
33178,2026-07-08T17:41:47.545500+00:00,overseas,CHW,NASD,BUY_REAL,pullback_entry,8.81,0.0,2796,54.08225501384286,2.1787213432353894,-0.001699716713880883,0.0,8.820555555555556,8.81832380952381,13.3291,362,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,8.814998942377189,0.0003965611195901886,0.0015502556457382733,0,-0.002265005662514108,0.00874999999999937,0.0,0,,8.81,2796,0.0,0.0,61.5819,0.0,0,0,CHW,0.0,2026-07-08T17:41:47.545500+00:00,0.0,0,14
33181,2026-07-08T17:42:18.224410+00:00,overseas,CHW,NASD,BUY_REAL,pullback_entry,8.815,0.0,2515,54.08225501384286,2.1787213432353894,-0.001699716713880883,0.0,8.820555555555556,8.81832380952381,38.3463,363,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,8.814998942377189,0.0003965611195901886,0.0015502556457382733,0,-0.002265005662514108,0.00874999999999937,0.0,0,,8.815,2515,0.0,0.0,55.424312,0.0,0,0,CHW,0.0,2026-07-08T17:42:18.224410+00:00,0.0,0,14
33184,2026-07-08T17:42:48.963360+00:00,overseas,CHW,NASD,BUY_REAL,pullback_entry,8.815,0.0,2264,54.90821165518106,2.9052308685824992,-0.0011331444759206557,0.0005675368898977304,8.821111111111112,8.818561904761903,23.3463,364,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,8.815004754393478,0.0007954215184504676,0.0016300277255103292,0,-0.0016987542468856816,0.00874999999999937,0.0,0,,8.815,2264,0.0,0.0,49.8929,0.0,0,0,CHW,0.0,2026-07-08T17:42:48.963360+00:00,0.0,0,14
33187,2026-07-08T17:43:20.935997+00:00,overseas,CHW,NASD,BUY_REAL,pullback_entry,8.815,0.0,2037,54.90821165518106,2.9052308685824992,-0.0011331444759206557,0.0005675368898977304,8.821111111111112,8.818561904761903,23.3463,365,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,8.815004754393478,0.0007954215184504676,0.0016300277255103292,0,-0.0016987542468856816,0.00874999999999937,0.0,0,,8.815,2037,0.0,0.0,44.890387,0.0,0,0,CHW,0.0,2026-07-08T17:43:20.935997+00:00,0.0,0,14
33190,2026-07-08T17:43:51.875065+00:00,overseas,CHW,NASD,BUY_REAL,pullback_entry,8.815,0.0,1834,54.90821165518106,2.9052308685824992,-0.0011331444759206557,0.0005675368898977304,8.821111111111112,8.818561904761903,23.3463,366,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,8.815004754393478,0.0007954215184504676,0.0016300277255103292,0,-0.0016987542468856816,0.00874999999999937,0.0,0,,8.815,1834,0.0,0.0,40.416775,0.0,0,0,CHW,0.0,2026-07-08T17:43:51.875065+00:00,0.0,0,14
33193,2026-07-08T17:44:17.966598+00:00,overseas,CHW,NASD,BUY_REAL,pullback_entry,8.815,0.0,1650,54.90821165518106,2.9052308685824992,-0.0011331444759206557,0.0005675368898977304,8.821111111111112,8.818561904761903,23.3463,367,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,8.815004754393478,0.0007954215184504676,0.0016300277255103292,0,-0.0016987542468856816,0.00874999999999937,0.0,0,,8.815,1650,0.0,0.0,36.361875,0.0,0,0,CHW,0.0,2026-07-08T17:44:17.966598+00:00,0.0,0,14
33268,2026-07-08T17:58:29.545384+00:00,overseas,CHW,NASD,SELL_REAL,trend_filter_lost,8.8101,-0.00010214504596523423,5307,43.13817811315701,0.0005065856129685917,-0.0005558706749857333,0.0,8.816688888888889,8.817628571428571,13.3606,396,-4.776299999998296,-6448.004999997699,050120bd1cf8,VWAP,VWAP,1,8.814998888600805,-0.0011752325618683557,0.00012472992816915836,0,-0.0016883852691217027,0.004999999999999449,0.0,1,0,8.815,5307,-238.6173142499983,-322133.3742374977,116.88800175,157798.8,0,5307,CHW,14.19,2026-07-08T17:44:17.976156+00:00,,0,15
33284,2026-07-08T18:01:04.052988+00:00,overseas,CHW,NASD,SELL_REAL,trend_filter_lost,8.8101,-0.00010214504596523423,52,43.13817811315701,0.0005065856129685917,-0.0005558706749857333,0.0,8.816688888888889,8.817628571428571,13.3606,401,-0.0467999999999833,-63.179999999977454,050120bd1cf8,VWAP,VWAP,1,8.814998888600805,-0.0011752325618683557,0.00012472992816915836,0,-0.0016883852691217027,0.004999999999999449,0.0,2,0,8.815,52,-2.338062999999983,-3156.385049999977,1.145313,1546.17,0,52,CHW,2.58,2026-07-08T17:58:29.550045+00:00,,0,17
33327,2026-07-08T18:08:45.883841+00:00,overseas,CHW,NASD,SELL_REAL,trend_filter_lost,8.81,-0.00011349449551690452,126,55.62902095853057,0.16619254379398113,-1.135060896014426e-05,-0.0010091961582508928,8.814900000000002,8.81757619047619,16.3625,415,-0.12599999999993017,-170.09999999990572,050120bd1cf8,VWAP,VWAP,1,8.814913575853382,-0.0008467617411085371,0.0003189021664956386,0,-0.0010091961582508928,0.006587499999999302,0.0,3,0,8.815,126,-5.67787499999993,-7665.131249999906,2.7751500000000004,3746.45,0,126,CHW,7.7,2026-07-08T18:01:04.058291+00:00,,1,17
33343,2026-07-08T18:11:32.553281+00:00,overseas,CHW,NASD,SELL_REAL,trend_filter_lost,8.81,-0.00011349449551690452,8,55.97314167657036,0.0109717868338558,-1.135060896014426e-05,0.0,8.813233333333335,8.817338095238094,13.3626,420,-0.007999999999995566,-10.799999999994014,050120bd1cf8,VWAP,VWAP,1,8.81492159613929,-0.0012128773408708327,1.2546265022344373e-05,0,-0.0010091961582508928,0.005337499999999329,0.0,4,0,8.815,8,-0.36049999999999555,-486.674999999994,0.17620000000000002,237.87,0,8,CHW,2.78,2026-07-08T18:08:45.891591+00:00,,1,17
33554,2026-07-08T18:51:51.119039+00:00,overseas,CHW,NASD,SELL_REAL,trend_filter_lost,8.81,-0.0004538234626729702,7603,51.71219823030151,0.001733222407099279,0.0,0.0,8.815866666666667,8.817233333333334,28.484,490,-30.411999999996652,-41056.19999999548,050120bd1cf8,VWAP,VWAP,1,8.816566113103391,-0.0005342432852639689,-0.00041000700167806827,0,-0.0005668934240363698,0.0059875000000000345,0.0,1,0,8.815,7603,-365.4191874999966,-493315.9031249954,167.45607500000003,226065.7,0,7603,CHW,40.31,2026-07-08T18:11:32.558413+00:00,,0,20
33740,2026-07-08T19:25:55.862869+00:00,overseas,XP,NASD,BUY_REAL,[VWAP] volume_low,15.25,0.0,1511,42.949194327349836,0.09600117612466921,0.0016425755584755963,0.00032808398950124706,15.226855555555554,15.221985714285713,-856.72,541,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,15.252586212446491,-0.008465481150723875,-0.014476524490752068,0,-0.0009826400262037713,0.038124999999999964,0.0,1,,15.25,1511,0.0,0.0,57.606875,0.0,0,0,XP,0.0,2026-07-08T19:25:55.862869+00:00,0.0,0,28
33777,2026-07-08T19:30:23.498217+00:00,overseas,RIVN,NASD,BUY_REAL,[VWAP] volume_low,16.635,0.0,1248,57.47827038194421,0.032612190754520126,0.00574625828554847,0.0,16.5211,16.544185714285714,226.5331,545,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,16.508317658086746,0.020391544672985873,0.007610127536298167,0,-0.001500600240095953,0.06373750000000067,0.0,1,,16.635,1248,0.0,0.0,51.9012,0.0,0,0,RIVN,0.0,2026-07-08T19:30:23.498217+00:00,0.0,0,28
33823,2026-07-08T19:35:53.887651+00:00,overseas,GLPI,NASD,BUY_REAL,[VWAP] volume_low,43.085,0.0,433,38.369283675826274,0.10436774885444088,-0.0015070716438674897,0.0,43.139355555555554,43.211866666666666,-403.9751,550,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,43.41145335286717,-0.08735613495913697,-0.08052527923046149,0,-0.003123553910226701,0.06884999999999941,0.0,1,,43.085,433,0.0,0.0,46.639513,0.0,0,0,GLPI,0.0,2026-07-08T19:35:53.887651+00:00,0.0,0,28
33851,2026-07-08T19:39:22.133432+00:00,overseas,GLPI,NASD,SELL_REAL,trend_filter_lost,43.05,-0.0003483106931382926,433,38.39344644611665,0.3887588963634591,-0.0014699744957106758,3.715314060149487e-05,43.13953333333333,43.21194285714286,-417.9686,553,-6.495000000000246,-8768.250000000333,050120bd1cf8,VWAP,VWAP,1,43.40981665963061,-0.08722849963150736,-0.08049975216493557,0,-0.003933364183248535,0.07072499999999948,0.0,2,0,43.085,433,-99.73613750000024,-134643.7856250003,46.601625,62912.19,0,433,GLPI,3.47,2026-07-08T19:35:53.897759+00:00,,0,28
33925,2026-07-08T19:48:18.120104+00:00,overseas,ABTC,NASD,BUY_REAL,[VWAP] volume_low,5.9001,0.0,3389,43.8405280782326,0.11202430115909463,-0.011725293132328207,-0.00016946280291466628,5.9367777777777775,5.9469619047619044,-1859.5068,561,0.0,0.0,050120bd1cf8,VWAP,VWAP,1,5.941757004420078,-0.015578783399386786,-0.014205893940897305,0,-0.02123388795806309,0.063025,0.0,2,,5.9001,3389,0.0,0.0,49.988597,0.0,0,0,ABTC,0.0,2026-07-08T19:48:18.120104+00:00,0.0,0,30
33946,2026-07-08T19:50:44.086269+00:00,overseas,ABTC,NASD,SELL_REAL,trend_filter_lost,5.865,-0.005932203389830532,3389,47.59883695169908,0.23650447772261377,-0.01932773109243701,-0.005115089514066538,5.922888888888888,5.937433333333333,-1967.4823,563,-118.61500000000048,-160130.25000000064,050120bd1cf8,VWAP,VWAP,1,5.936869403381487,-0.023214242427091136,-0.01454364281452658,0,-0.02705661817156318,0.07476250000000007,0.0,3,0,5.9001,3389,-218.29480975000047,-294697.9931625006,49.691212500000006,67083.14,0,3389,ABTC,2.43,2026-07-08T19:48:18.130442+00:00,,1,30
33947,2026-07-08T19:50:45.429420+00:00,overseas,XP,NASD,SELL_REAL,marginal_profit_exit,15.53,0.01902887139107606,1511,53.547260550569185,0.16994286887522353,-0.0022522522522521473,-0.0016097875080488462,15.41,15.304842857142857,-506.0658,563,438.1899999999987,591556.4999999983,050120bd1cf8,VWAP,VWAP,1,15.30354742297361,0.07152652252668545,0.03580293943996748,0,-0.005761843790012796,0.09437499999999965,0.0,0,0,15.25,1511,321.9185499999987,434590.04249999824,58.664575,79197.18,0,1511,XP,24.83,2026-07-08T19:25:55.874241+00:00,,1,30
35100,2026-07-09T00:00:35.485443+00:00,domestic,000660,,SKIP,buy:slot_budget_insufficient,2219000.0,,0,42.17475552390268,1.5292099702949455,0.06516530905606133,0.0708092485549133,2102333.3333333335,2104738.095238095,138.1331,777,,,050120bd1cf8,RSI,RSI,1,2121649.7509166207,3172.5787807856686,-4321.197493756005,1,0.05418250950570342,28375.0,0.000450755014649538,0,,,,,,,,,5,,,,0.0,1,0
35105,2026-07-09T00:01:43.886911+00:00,domestic,005930,,BUY_REAL,domestic_buy,288000.0,0.0,3,28.836817212814296,0.28725970584390637,0.026881720430107527,-0.00865051903114187,279888.8888888889,278702.38095238095,129.2695,778,,0.0,050120bd1cf8,RSI,RSI,1,278708.9473170232,1333.0121381125646,303.269039580589,0,-0.008620689655172414,3250.0,0.0017376194613379669,0,,288000.0,3,,0.0,,2160.0,0,3,삼성전자,0.0,2026-07-09T00:01:43.886911+00:00,0.0,1,12
35106,2026-07-09T00:01:45.239141+00:00,domestic,069500,,BUY_REAL,domestic_buy,120770.0,0.0,8,29.214492163391924,0.7217668119685051,0.03002477150422824,-0.0046225597424573855,117783.33333333333,117272.14285714286,121.2412,778,,0.0,050120bd1cf8,RSI,RSI,1,117262.75301631719,529.1157900505204,120.89854898369478,0,-0.006252570958453311,954.375,0.0004140958217731583,0,,120770.0,8,,0.0,,2415.4,0,8,KODEX 200,0.0,2026-07-09T00:01:45.239141+00:00,0.0,1,12
35107,2026-07-09T00:01:45.248084+00:00,domestic,000660,,SKIP,buy:slot_budget_insufficient,2230000.0,,0,35.950091915302124,0.18996839974909163,0.06999041227229147,-0.0013422818791946308,2119888.888888889,2110785.714285714,140.5029,778,,,050120bd1cf8,RSI,RSI,1,2124404.69824851,13295.646374765318,-645.9674535757149,0,-0.0044603033006244425,29375.0,0.00044853106077595876,0,,,,,,,,,5,SK하이닉스,,,0.0,1,12
35113,2026-07-09T00:02:49.020804+00:00,domestic,000660,,SKIP,buy:slot_budget_insufficient,2229000.0,,0,27.691790751906282,0.31917200704528376,0.08285163776493257,0.009429726088908847,2137111.111111111,2116833.3333333335,141.057,779,,,050120bd1cf8,RSI,RSI,1,2127158.051840753,21293.41082289815,3676.6035359746443,0,-0.006690454950936664,32500.0,0.0004487323311644604,0,,,,,,,,,5,SK하이닉스,,,0.0,1,12
